,model,price,rating,processor,graphic_card,core,display,ram,os,internal_storage
122,Lenovo IdeaPad Gaming 3 82SB00V2IN Laptop (AMD Ryzen 5 6600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹61,712",57,6th Gen AMD Ryzen 5 6600H,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
123,Lenovo IdeaPad Gaming 3 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹50,712",63,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce RTX 2050,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
124,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹83,990",66,6th Gen AMD Ryzen 7  6800H,4 GB NVIDIA GeForce RTX RTX 3050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
125,Lenovo IdeaPad Gaming 3 82K2028AIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹46,490",57,5th Gen AMD Ryzen 5  5500H,4 GB  NVIDIA GeForce RTX 2050,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
126,Asus ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹94,990",65,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
127,Lenovo V15 G3 82TTA02UIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹44,490",59,12th Gen Intel Core i5 1235U,Intel Integrated UHD,"10 Cores (2P + 8E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
128,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹92,990",64,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
129,Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹79,990",68,6th Gen AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","17.3 inches, 1920 x 1080 pixels",16 GB DDR5  RAM,Windows 11 OS,512 GB SSD
130,HP Victus 15-fa1132TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,990",62,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
131,Lenovo IdeaPad Gaming 3 15IHU6 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹47,990",60,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce GTX 2050,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
132,Lenovo Legion Slim 5 82Y9009KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,14,190",75,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
133,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹47,990",63,5th Gen AMD Ryzen 5  5600H ,4 GB AMD Radeon RX 6500M,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
134,Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,990",63,11th Gen Intel Core i5 11320H,4 GB NVIDIA GeForce RTX 2050,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
135,Lenovo Legion Slim 5 16APH8 82Y90042IN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,28,990",78,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
136,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",63,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
137,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹98,000",66,13th Gen Intel Core i5 13500H,6 GB NVIDIA GeForce RTX 4050,"12 Cores (4P + 8E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
138,Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹40,990",46,13th Gen Intel Core i3 1305U,Intel UHD Graphics,"5 Cores (1P + 4E), 6 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
139,Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,30,990",79,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
140,Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),"₹78,990",56,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 SDRAM RAM,Windows 11 OS,512 GB SSD
141,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹72,990",66,6th Gen AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB LPDDR5 RAM,Windows 11 OS,512 GB SSD
142,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹62,500",63,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
143,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),"₹73,990",60,5th Gen AMD Ryzen 7 5800HS,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
144,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),"₹69,990",59,5th Gen AMD Ryzen 5 5600HS,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
